"urdu","roman"
"ختم خوش فہمی کی منزل کا سفر بہی ہو گیا","khatm khushfahmi ki manzil ka safar bhi ho gaya"
"درخت سوکہ گئی رک گئی ندی نالی","darakht suukh gae ruk gae nadi naale"
"یہ کس نگر کو روانہ ہوئی ہیں گہر والی","ye kis nagar ko ravana hue hain ghar vaale"
"کہانیاں جو سناتی تہی عہد رفتہ کی","kahaniyan jo sunate the ahderafta ki"
"نشاں وہ گردش ایام نی مٹا ڈالی","nishan vo gardisheayyam ne mita daale"
"میں شہر شہر پہرا ہوں اسی تمنا میں","main shahr shahr phira huun isi tamanna men"
"کسی کو اپنا کہوں کوئی مجہ کو اپنا لی","kisi ko apna kahun koi mujh ko apna le"
"صدا نہ دی کسی مہتاب کو اندہیروں میں","sada na de kisi mahtab ko andheron men"
"لگا نہ دی یہ زمانہ زبان پر تالی","laga na de ye zamana zaban par taale"
"کوئی کرن ہی یہاں تو کوئی کرن ہی وہاں","koi kiran hai yahan to koi kiran hai vahan"
"دل و نگاہ نی کس درجہ روگ ہیں پالی","dil o nigah ne kis darja rog hain paale"
"ہمیں پہ ان کی نظر ہی ہمیں پہ ان کا کرم","hamin pe un ki nazar hai hamin pe un ka karam"
"یہ اور بات یہاں اور بہی ہیں دل والی","ye aur baat yahan aur bhi hain dil vaale"
"کچہ اور تجہ پہ کہلیں گی حقیقتیں جالبؔ","kuchh aur tujh pe khulengi haqiqaten jalib"
"جو ہو سکی تو کسی کا فریب بہی کہا لی","jo ho sake to kisi ka fareb bhi kha le"
"دل پر شوق کو پہلو میں دبائی رکہا","dilepurshauq ko pahlu men dabae rakkha"
"تجہ سی بہی ہم نی ترا پیار چہپائی رکہا","tujh se bhi ham ne tira pyaar chhupae rakkha"
"چہوڑ اس بات کو ای دوست کہ تجہ سی پہلی","chhod is baat ko ai dost ki tujh se pahle"
"ہم نی کس کس کو خیالوں میں بسائی رکہا","ham ne kis kis ko khayalon men basae rakkha"
"غیر ممکن تہی زمانی کی غموں سی فرصت","ghair mumkin thi zamane ke ghamon se fursat"
"پہر بہی ہم نی ترا غم دل میں بسائی رکہا","phir bhi ham ne tira gham dil men basae rakkha"
"پہول کو پہول نہ کہتی سو اسی کیا کہتی","phuul ko phuul na kahte so use kya kahte"
"کیا ہوا غیر نی کالر پہ سجائی رکہا","kya hua ghair ne collar pe sajae rakkha"
"جانی کس حال میں ہیں کون سی شہروں میں ہیں وہ","jaane kis haal men hain kaun se shahron men hain vo"
"زندگی اپنی جنہیں ہم نی بنائی رکہا","zindagi apni jinhen ham ne banae rakkha"
"ہائی کیا لوگ تہی وہ لوگ پری چہرہ لوگ","haae kya log the vo log parichehra log"
"ہم نی جن کی لیی دنیا کو بہلائی رکہا","ham ne jin ke liye duniya ko bhulae rakkha"
"اب ملیں بہی تو نہ پہچان سکیں ہم ان کو","ab milen bhi to na pahchan saken ham un ko"
"جن کو اک عمر خیالوں میں بسائی رکہا","jin ko ik umr khayalon men basae rakkha"
"دل کی بات لبوں پر لا کر اب تک ہم دکہ سہتی ہیں","dil ki baat labon par la kar ab tak ham dukh sahte hain"
"ہم نی سنا تہا اس بستی میں دل والی بہی رہتی ہیں","ham ne suna tha is basti men dil vaale bhi rahte hain"
"بیت گیا ساون کا مہینہ موسم نی نظریں بدلیں","biit gaya savan ka mahina mausam ne nazren badlin"
"لیکن ان پیاسی انکہوں سی اب تک انسو بہتی ہیں","lekin in pyasi ankhon se ab tak aansu bahte hain"
"ایک ہمیں اوارہ کہنا کوئی بڑا الزام نہیں","ek hamen avara kahna koi bada ilzam nahin"
"دنیا والی دل والوں کو اور بہت کچہ کہتی ہیں","duniya vaale dil valon ko aur bahut kuchh kahte hain"
"جن کی خاطر شہر بہی چہوڑا جن کی لیی بدنام ہوئی","jin ki khatir shahr bhi chhoda jin ke liye badnam hue"
"اج وہی ہم سی بیگانی بیگانی سی رہتی ہیں","aaj vahi ham se begane begane se rahte hain"
"وہ جو ابہی اس راہ گزر سی چاک گریباں گزرا تہا","vo jo abhi is rahguzar se chakgareban guzra tha"
"اس اوارہ دیوانی کو جالبؔ جالبؔ کہتی ہیں","us avara divane ko jalib jalib kahte hain"
"دل پر جو زخم ہیں وہ دکہائیں کسی کو کیا","dil par jo zakhm hain vo dikhaen kisi ko kya"
"اپنا شریک درد بنائیں کسی کو کیا","apna sharikedard banaen kisi ko kya"
"ہر شخص اپنی اپنی غموں میں ہی مبتلا","har shakhs apne apne ghamon men hai mubtala"
"زنداں میں اپنی ساتہ رلائیں کسی کو کیا","zindan men apne saath rulaen kisi ko kya"
"بچہڑی ہوئی وہ یار وہ چہوڑی ہوئی دیار","bichhde hue vo yaar vo chhode hue dayar"
"رہ رہ کی ہم کو یاد جو ائیں کسی کو کیا","rah rah ke ham ko yaad jo aaen kisi ko kya"
"رونی کو اپنی حال پہ تنہائی ہی بہت","rone ko apne haal pe tanhai hai bahut"
"اس انجمن میں خود پہ ہنسائیں کسی کو کیا","us anjuman men khud pe hansaen kisi ko kya"
"وہ بات چہیڑ جس میں جہلکتا ہو سب کا غم","vo baat chhed jis men jhalakta ho sab ka gham"
"یادیں کسی کی تجہ کو ستائیں کسی کو کیا","yaden kisi ki tujh ko sataen kisi ko kya"
"سوئی ہوئی ہیں لوگ تو ہوں گی سکون سی","soe hue hain log to honge sukun se"
"ہم جاگنی کا روگ لگائیں کسی کو کیا","ham jagne ka rog lagaen kisi ko kya"
"جالبؔ نہ ائی گا کوئی احوال پوچہنی","jalib na aaega koi ahval puchhne"
"دیں شہر بی حساں میں صدائیں کسی کو کیا","den shahrebehisan men sadaen kisi ko kya"
"دل والو کیوں دل سی دولت یوں بیکار لٹاتی ہو","dil vaalo kyuun dil si daulat yuun bekar lutate ho"
"کیوں اس اندہیاری بستی میں پیار کی جوت جگاتی ہو","kyuun is andhiyari basti men pyaar ki jot jagate ho"
"تم ایسا نادان جہاں میں کوئی نہیں ہی کوئی نہیں","tum aisa nadan jahan men koi nahin hai koi nahin"
"پہر ان گلیوں میں جاتی ہو پگ پگ ٹہوکر کہاتی ہو","phir in galiyon men jaate ho pag pag thokar khate ho"
"سندر کلیو کومل پہولو یہ تو بتاؤ یہ تو کہو","sundar kaliyo komal phulo ye to batao ye to kaho"
"اخر تم میں کیا جادو ہی کیوں من میں بس جاتی ہو","akhir tum men kya jaadu hai kyuun man men bas jaate ho"
"یہ موسم رم جہم کا موسم یہ برکہا یہ مست فضا","ye mausam rimjhim ka mausam ye barkha ye mast faza"
"ایسی میں اؤ تو جانیں ایسی میں کب اتی ہو","aise men aao to janen aise men kab aate ho"
"ہم سی روٹہ کی جانی والو اتنا بہید بتا جاو","ham se ruuth ke jaane vaalo itna bhed bata jaao"
"کیوں نت راتو کو سپنوں میں اتی ہو من جاتی ہو","kyuun nit raato ko sapnon men aate ho man jaate ho"
"چاند ستاروں کی جہرمٹ میں پہولوں کی مسکاہٹ میں","chandsitaron ke jhurmut men phulon ki muskahat men"
"تم چہپ چہپ کر ہنستی ہو تم روپ کا مان بڑہاتی ہو","tum chhupchhup kar hanste ho tum ruup ka maan badhate ho"
"چلتی پہرتی روشن رستی تاریکی میں ڈوب گئی","chalte phirte raushan raste tariki men duub gae"
"سو جاو اب جالبؔ تم بہی کیوں انکہیں سلگاتی ہو","so jaao ab jalib tum bhi kyuun ankhen sulgate ho"
"دشمنوں نی جو دشمنی کی ہی","dushmanon ne jo dushmani ki hai"
"دوستوں نی بہی کیا کمی کی ہی","doston ne bhi kya kami ki hai"
"خامشی پر ہیں لوگ زیر عتاب","khamushi par hain log zereitab"
"اور ہم نی تو بات بہی کی ہی","aur ham ne to baat bhi ki hai"
"مطمئن ہی ضمیر تو اپنا","mutmain hai zamir to apna"
"بات ساری ضمیر ہی کی ہی","baat saari zamir hi ki hai"
"اپنی تو داستاں ہی بس اتنی","apni to dastan hai bas itni"
"غم اٹہائی ہیں شاعری کی ہی","gham uthae hain shaeri ki hai"
"اب نظر میں نہیں ہی ایک ہی پہول","ab nazar men nahin hai ek hi phuul"
"فکر ہم کو کلی کلی کی ہی","fikr ham ko kali kali ki hai"
"پا سکیں گی نہ عمر بہر جس کو","pa sakenge na umr bhar jis ko"
"جستجو اج بہی اسی کی ہی","justuju aaj bhi usi ki hai"
"جب مہ و مہر بجہ گئی جالبؔ","jab mahomahr bujh gae jalib"
"ہم نی اشکوں سی روشنی کی ہی","ham ne ashkon se raushni ki hai"
"فیضؔ اور فیضؔ کا غم بہولنی والا ہی کہیں","faiz aur faiz ka gham bhulne vaala hai kahin"
"موت یہ تیرا ستم بہولنی والا ہی کہیں","maut ye tera sitam bhulne vaala hai kahin"
"ہم سی جس وقت نی وہ شاہ سخن چہین لیا","ham se jis vaqt ne vo shahesukhan chhin liya"
"ہم کو وہ وقت الم بہولنی والا ہی کہیں","ham ko vo vaqtealam bhulne vaala hai kahin"
"تری اشک اور بہی چمکائیں گی یادیں اس کی","tire ashk aur bhi chamkaengi yaden us ki"
"ہم کو وہ دیدۂ نم بہولنی والا ہی کہیں","ham ko vo didaenam bhulne vaala hai kahin"
"کبہی زنداں میں کبہی دور وطن سی ای دوست","kabhi zindan men kabhi duur vatan se ai dost"
"جو کیا اس نی رقم بہولنی والا ہی کہیں","jo kiya us ne raqam bhulne vaala hai kahin"
"اخری بار اسی دیکہ نہ پائی جالبؔ","akhiri baar use dekh na paae jalib"
"یہ مقدر کا ستم بہولنی والا ہی کہیں","ye muqaddar ka sitam bhulne vaala hai kahin"
"ہم نی دل سی تجہی سدا مانا","ham ne dil se tujhe sada maana"
"تو بڑا تہا تجہی بڑا مانا","tu bada tha tujhe bada maana"
"میرؔ و غالبؔ کی بعد انیسؔ کی بعد","miroghalib ke baad anis ke baad"
"تجہ کو مانا بڑا بجا مانا","tujh ko maana bada baja maana"
"تو کہ دیوانۂ صداقت تہا","tu ki divanaesadaqat tha"
"تو نی بندی کو کب خدا مانا","tu ne bande ko kab khuda maana"
"تجہ کو پروا نہ تہی زمانی کی","tujh ko parva na thi zamane ki"
"تو نی دل ہی کا ہر کہا مانا","tu ne dil hi ka har kaha maana"
"تجہ کو خود پہ تہا اعتماد اتنا","tujh ko khud pe tha etimad itna"
"خود ہی کو تو نہ رہنما مانا","khud hi ko to na rahnuma maana"
"کی نہ شب کی کبہی پذیرائی","ki na shab ki kabhi pazirai"
"صبح کو لائق ثنا مانا","subh ko laeqesana maana"
"ہنس دیا سطح ذہن عالم پر","hans diya sathezehnealam par"
"جب کسی بات کا برا مانا","jab kisi baat ka bura maana"
"یوں تو شاعر تہی اور بہی ای جوشؔ","yuun to shair the aur bhi ai josh"
"ہم نی تجہ سا نہ دوسرا مانا","ham ne tujh sa na dusra maana"
"ہجوم دیکہ کی رستہ نہیں بدلتی ہم","hujum dekh ke rasta nahin badalte ham"
"کسی کی ڈر سی تقاضا نہیں بدلتی ہم","kisi ke dar se taqaza nahin badalte ham"
"ہزار زیر قدم راستہ ہو خاروں کا","hazar zereqadam rasta ho kharon ka"
"جو چل پڑیں تو ارادہ نہیں بدلتی ہم","jo chal paden to irada nahin badalte ham"
"اسی لیی تو نہیں معتبر زمانی میں","isi liye to nahin motabar zamane men"
"کہ رنگ صورت دنیا نہیں بدلتی ہم","ki rangesurateduniya nahin badalte ham"
"ہوا کو دیکہ کی جالبؔ مثال ہم عصراں","hava ko dekh ke jalib misalehamasran"
"بجا یہ زعم ہمارا نہیں بدلتی ہم","baja ye zom hamara nahin badalte ham"
"اک شخص با ضمیر مرا یار مصحفیؔ","ik shakhs bazamir mira yaar mushafi"
"میری طرح وفا کا پرستار مصحفیؔ","meri tarah vafa ka parastar mushafi"
"رہتا تہا کج کلاہ امیروں کی درمیاں","rahta tha kajkulah amiron ke darmiyan"
"یکسر لئی ہوئی مرا کردار مصحفیؔ","yaksar liye hue mira kirdar mushafi"
"دیتی ہیں داد غیر کو کب اہل لکہنؤ","dete hain daad ghair ko kab ahlelucknow"
"کب داد کا تہا ان سی طلب گار مصحفیؔ","kab daad ka tha un se talabgar mushafi"
"نا قدری جہاں سی کئی بار ا کی تنگ","naqadriejahan se kai baar aa ke tang"
"اک عمر شعر سی رہا بیزار مصحفیؔ","ik umr sher se raha bezar mushafi"
"دربار میں تہا بار کہاں اس غریب کو","darbar men tha baar kahan us gharib ko"
"برسوں مثال میرؔ پہرا خوار مصحفیؔ","barson misalemir phira khvar mushafi"
"میں نی بہی اس گلی میں گزاری ہی رو کی عمر","main ne bhi us gali men guzari hai ro ke umr"
"ملتا ہی اس گلی میں کسی پیار مصحفیؔ","milta hai us gali men kise pyaar mushafi"
"اس شہر خرابی میں غم عشق کی ماری","is shahrekharabi men ghameishq ke maare"
"زندہ ہیں یہی بات بڑی بات ہی پیاری","zinda hain yahi baat badi baat hai pyare"
"یہ ہنستا ہوا چاند یہ پر نور ستاری","ye hansta hua chand ye purnur sitare"
"تابندہ و پایندہ ہیں ذروں کی سہاری","tabinda o painda hain zarron ke sahare"
"حسرت ہی کوئی غنچہ ہمیں پیار سی دیکہی","hasrat hai koi ghuncha hamen pyaar se dekhe"
"ارماں ہی کوئی پہول ہمیں دل سی پکاری","arman hai koi phuul hamen dil se pukare"
"ہر صبح مری صبح پہ روتی رہی شبنم","har subh miri subh pe roti rahi shabnam"
"ہر رات مری رات پہ ہنستی رہی تاری","har raat miri raat pe hanste rahe taare"
"کچہ اور بہی ہیں کام ہمیں ای غم جاناں","kuchh aur bhi hain kaam hamen ai ghamejanan"
"کب تک کوئی الجہی ہوئی زلفوں کو سنواری","kab tak koi uljhi hui zulfon ko sanvare"
"جاگنی والو تا بہ سحر خاموش رہو","jagne vaalo tabasahar khamosh raho"
"کل کیا ہوگا کس کو خبر خاموش رہو","kal kya hoga kis ko khabar khamosh raho"
"کس نی سحر کی پاؤں میں زنجیریں ڈالیں","kis ne sahar ke paanv men zanjiren dalin"
"ہو جائی گی رات بسر خاموش رہو","ho jaegi raat basar khamosh raho"
"شاید چپ رہنی میں عزت رہ جائی","shayad chup rahne men izzat rah jaae"
"چپ ہی بہلی ای اہل نظر خاموش رہو","chup hi bhali ai ahlenazar khamosh raho"
"قدم قدم پر پہری ہیں ان راہوں میں","qadam qadam par pahre hain in rahon men"
"دار و رسن کا ہی یہ نگر خاموش رہو","darorasan ka hai ye nagar khamosh raho"
"یوں بہی کہاں بی تابئ دل کم ہوتی ہی","yuun bhi kahan betabiedil kam hoti hai"
"یوں بہی کہاں ارام مگر خاموش رہو","yuun bhi kahan aram magar khamosh raho"
"شعر کی باتیں ختم ہوئیں اس عالم میں","sher ki baten khatm huiin is aalam men"
"کیسا جوشؔ اور کس کا جگرؔ خاموش رہو","kaisa josh aur kis ka jigar khamosh raho"
"جہوٹی خبریں گہڑنی والی جہوٹی شعر سنانی والی","jhuti khabren ghadne vaale jhute sher sunane vaale"
"لوگو صبر کہ اپنی کئی کی جلد سزا ہیں پانی والی","logo sabr ki apne kiye ki jald saza hain paane vaale"
"درد انکہوں سی بہتا ہی اور چہرہ سب کچہ کہتا ہی","dard ankhon se bahta hai aur chehra sab kuchh kahta hai"
"یہ مت لکہو وہ مت لکہو ائی بڑی سمجہانی والی","ye mat likkho vo mat likkho aae bade samjhane vaale"
"خود کاٹیں گی اپنی مشکل خود پائیں گی اپنی منزل","khud katenge apni mushkil khud paenge apni manzil"
"راہزنوں سی بہی بد تر ہیں راہنما کہلانی والی","rahzanon se bhi badtar hain rahnuma kahlane vaale"
"ان سی پیار کیا ہی ہم نی ان کی راہ میں ہم بیٹہی ہیں","un se pyaar kiya hai ham ne un ki raah men ham baithe hain"
"نا ممکن ہی جن کا ملنا اور نہیں جو انی والی","namumkin hai jin ka milna aur nahin jo aane vaale"
"ان پر بہی ہنستی تہی دنیا اوازیں کستی تہی دنیا","un par bhi hansti thi duniya avazen kasti thi duniya"
"جالبؔ اپنی ہی صورت تہی عشق میں جاں سی جانی والی","jalib apni hi surat the ishq men jaan se jaane vaale"
"جیون مجہ سی میں جیون سی شرماتا ہوں","jivan mujh se main jivan se sharmata huun"
"مجہ سی اگی جانی والو میں اتا ہوں","mujh se aage jaane vaalo men aata huun"
"جن کی یادوں سی روشن ہیں میری انکہیں","jin ki yadon se raushan hain meri ankhen"
"دل کہتا ہی ان کو بہی میں یاد اتا ہوں","dil kahta hai un ko bhi main yaad aata huun"
"سر سی سانسوں کا ناتا ہی توڑوں کیسی","sur se sanson ka naata hai todun kaise"
"تم جلتی ہو کیوں جیتا ہوں کیوں گاتا ہوں","tum jalte ho kyuun jiita huun kyuun gaata huun"
"تم اپنی دامن میں ستاری بیٹہ کر ٹانکو","tum apne daman men sitare baith kar tanko"
"اور میں نئی برن لفظوں کو پہناتا ہوں","aur main nae baran lafzon ko pahnata huun"
"جن خوابوں کو دیکہ کی میں نی جینا سیکہا","jin khvabon ko dekh ke main ne jiina sikha"
"ان کی اگی ہر دولت کو ٹہکراتا ہوں","un ke aage har daulat ko thukrata huun"
"زہر اگلتی ہیں جب مل کر دنیا والی","zahr ugalte hain jab mil kar duniya vaale"
"میٹہی بولوں کی وادی میں کہو جاتا ہوں","mithe bolon ki vaadi men kho jaata huun"
"جالبؔ میری شعر سمجہ میں ا جاتی ہیں","jalib mere sher samajh men aa jaate hain"
"اسی لیی کم رتبہ شاعر کہلاتا ہوں","isi liye kamrutba shaer kahlata huun"
"کبہی تو مہرباں ہو کر بلا لیں","kabhi to mehrban ho kar bula len"
"یہ مہوش ہم فقیروں کی دعا لیں","ye mahvash ham faqiron ki dua len"
"نہ جانی پہر یہ رت ائی نہ ائی","na jaane phir ye rut aae na aae"
"جواں پہولوں کی کچہ خوشبو چرا لیں","javan phulon ki kuchh khushbu chura len"
"بہت روئی زمانی کی لیی ہم","bahut roe zamane ke liye ham"
"ذرا اپنی لیی انسو بہا لیں","zara apne liye aansu baha len"
"ہم ان کو بہولنی والی نہیں ہیں","ham un ko bhulne vaale nahin hain"
"سمجہتی ہیں غم دوراں کی چالیں","samajhte hain ghamedauran ki chalen"
"ہماری بہی سنبہل جائی گی حالت","hamari bhi sambhal jaegi halat"
"وہ پہلی اپنی زلفیں تو سنبہالیں","vo pahle apni zulfen to sambhalen"
"نکلنی کو ہی وہ مہتاب گہر سی","nikalne ko hai vo mahtab ghar se"
"ستاروں سی کہو نظریں جہکا لیں","sitaron se kaho nazren jhuka len"
"ہم اپنی راستی پر چل رہی ہیں","ham apne raste par chal rahe hain"
"جناب شیخ اپنا راستہ لیں","janabeshaikh apna rasta len"
"زمانہ تو یوں ہی روٹہا رہی گا","zamana to yunhi rutha rahega"
"چلو جالبؔ انہیں چل کر منا لیں","chalo jalib unhen chal kar mana len"
"کہیں اہ بن کی لب پر ترا نام ا نہ جائی","kahin aah ban ke lab par tira naam aa na jaae"
"تجہی بی وفا کہوں میں وہ مقام ا نہ جائی","tujhe bevafa kahun main vo maqam aa na jaae"
"ذرا زلف کو سنبہالو مرا دل دہڑک رہا ہی","zara zulf ko sambhalo mira dil dhadak raha hai"
"کوئی اور طائر دل تہہ دام ا نہ جائی","koi aur tairedil tahedam aa na jaae"
"جسی سن کی ٹوٹ جائی مرا ارزو بہرا دل","jise sun ke tuut jaae mira aarzu bhara dil"
"تری انجمن سی مجہ کو وہ پیام ا نہ جائی","tiri anjuman se mujh ko vo payam aa na jaae"
"وہ جو منزلوں پہ لا کر کسی ہم سفر کو لوٹیں","vo jo manzilon pe la kar kisi hamsafar ko luten"
"انہیں رہزنوں میں تیرا کہیں نام ا نہ جائی","unhin rahzanon men tera kahin naam aa na jaae"
"اسی فکر میں ہیں غلطاں یہ نظام زر کی بندی","isi fikr men hain ghaltan ye nizamezar ke bande"
"جو تمام زندگی ہی وہ نظام ا نہ جائی","jo tamamezindagi hai vo nizam aa na jaae"
"یہ مہ و نجوم ہنس لیں مری انسوؤں پہ جالبؔ","ye mah o nujum hans len mire ansuon pe jalib"
"مرا ماہتاب جب تک لب بام ا نہ جائی","mira mahtab jab tak labebam aa na jaae"
"کم پرانا بہت نیا تہا فراق","kam purana bahut naya tha firaq"
"اک عجب رمز اشنا تہا فراق","ik ajab ramzashna tha firaq"
"دور وہ کب ہوا نگاہوں سی","duur vo kab hua nigahon se"
"دہڑکنوں میں بسا ہوا ہی فراق","dhadkanon men basa hua hai firaq"
"شام غم کی سلگتی صحرا میں","shamegham ke sulagte sahra men"
"اک امنڈتی ہوئی گہٹا تہا فراق","ik umandti hui ghata tha firaq"
"امن تہا پیار تہا محبت تہا","amn tha pyaar tha mohabbat tha"
"رنگ تہا نور تہا نوا تہا فراق","rang tha nuur tha nava tha firaq"
"فاصلی نفرتوں کی مٹ جائیں","fasle nafraton ke mit jaaen"
"پیار ہی پیار سوچتا تہا فراق","pyaar hi pyaar sochta tha firaq"
"ہم سی رنج و الم کی ماروں کو","ham se ranjoalam ke maron ko"
"کس محبت سی دیکہتا تہا فراق","kis mohabbat se dekhta tha firaq"
"عشق انسانیت سی تہا اس کو","ishq insaniyat se tha us ko"
"ہر تعصب سی ماورا تہا فراق","har taassub se mavara tha firaq"
"کون بتائی کون سجہائی کون سی دیس سدہار گئی","kaun batae kaun sujhae kaun se des sidhar gae"
"ان کا رستہ تکتی تکتی نین ہماری ہار گئی","un ka rasta takte takte nain hamare haar gae"
"کانٹوں کی دکہ سہنی میں تسکین بہی تہی ارام بہی تہا","kanton ke dukh sahne men taskin bhi thi aram bhi tha"
"ہنسنی والی بہولی بہالی پہول چمن کی مار گئی","hansne vaale bholebhale phuul chaman ke maar gae"
"ایک لگن کی بات ہی جیون ایک لگن ہی جیون ہی","ek lagan ki baat hai jivan ek lagan hi jivan hai"
"پوچہ نہ کیا کہویا کیا پایا کیا جیتی کیا ہار گئی","puchh na kya khoya kya paaya kya jiite kya haar gae"
"انی والی برکہا دیکہیں کیا دکہلائی انکہوں کو","aane vaali barkha dekhen kya dikhlae ankhon ko"
"یہ برکہا برساتی دن تو بن پریتم بیکار گئی","ye barkha barsate din to bin piritam bekar gae"
"جب بہی لوٹی پیار سی لوٹی پہول نہ پا کر گلشن میں","jab bhi laute pyaar se laute phuul na pa kar gulshan men"
"بہونری امرت رس کی دہن میں پل پل سو سو بار گئی","bhanvre amrit ras ki dhun men pal pal sau sau baar gae"
"ہم سی پوچہو ساحل والو کیا بیتی دکہیاروں پر","ham se puchho sahil vaalo kya biiti dukhiyaron par"
"کہیون ہاری بیچ بہنور میں چہوڑ کی جب اس پار گئی","khevanhare biich bhanvar men chhod ke jab us paar gae"
"خوب ازادئ صحافت ہی","khuub azadiesahafat hai"
"نظم لکہنی پہ بہی قیامت ہی","nazm likhne pe bhi qayamat hai"
"دعوی جمہوریت کا ہی ہر ان","daava jamhuriyat ka hai haran"
"یہ حکومت بہی کیا حکومت ہی","ye hukumat bhi kya hukumat hai"
"دہاندلی دہونس کی ہی پیداوار","dhandli dhons ki hai paidavar"
"سب کو معلوم یہ حقیقت ہی","sab ko maalum ye haqiqat hai"
"خوف کی ذہن و دل پہ سائی ہیں","khauf ke zehnodil pe saae hain"
"کس کی عزت یہاں سلامت ہی","kis ki izzat yahan salamat hai"
"کبہی جمہوریت یہاں ائی","kabhi jamhuriyat yahan aae"
"یہی جالبؔ ہماری حسرت ہی","yahi jalib hamari hasrat hai"
"کچہ لوگ خیالوں سی چلی جائیں تو سوئیں","kuchh log khayalon se chale jaaen to soen"
"بیتی ہوئی دن رات نہ یاد ائیں تو سوئیں","biite hue din raat na yaad aaen to soen"
"چہری جو کبہی ہم کو دکہائی نہیں دیں گی","chehre jo kabhi ham ko dikhai nahin denge"
"ا ا کی تصور میں نہ تڑپائیں تو سوئیں","aa aa ke tasavvur men na tadpaen to soen"
"برسات کی رت کی وہ طرب ریز مناظر","barsat ki rut ke vo tarabrez manazir"
"سینی میں نہ اک اگ سی بہڑکائیں تو سوئیں","siine men na ik aag si bhadkaen to soen"
"صبحوں کی مقدر کو جگاتی ہوئی مکہڑی","subhon ke muqaddar ko jagate hue mukhde"
"انچل جو نگاہوں میں نہ لہرائیں تو سوئیں","anchal jo nigahon men na lahraen to soen"
"محسوس یہ ہوتا ہی ابہی جاگ رہی ہیں","mahsus ye hota hai abhi jaag rahe hain"
"لاہور کی سب یار بہی سو جائیں تو سوئیں","lahore ke sab yaar bhi so jaaen to soen"
"لوگ گیتوں کا نگر یاد ایا","log giton ka nagar yaad aaya"
"اج پردیس میں گہر یاد ایا","aaj pardes men ghar yaad aaya"
"جب چلی ائی چمن زار سی ہم","jab chale aae chamanzar se ham"
"التفات گل تر یاد ایا","iltifateguletar yaad aaya"
"تیری بیگانہ نگاہی سر شام","teri begananigahi saresham"
"یہ ستم تا بہ سحر یاد ایا","ye sitam tabasahar yaad aaya"
"ہم زمانی کا ستم بہول گئی","ham zamane ka sitam bhuul gae"
"جب ترا لطف نظر یاد ایا","jab tira lutfenazar yaad aaya"
"تو بہی مسرور تہا اس شب سر بزم","to bhi masrur tha is shab sarebazm"
"اپنی شعروں کا اثر یاد ایا","apne sheron ka asar yaad aaya"
"پہر ہوا درد تمنا بیدار","phir hua dardetamanna bedar"
"پہر دل‌ خاک‌ بسر یاد ایا","phir dilekhakbasar yaad aaya"
"ہم جسی بہول چکی تہی جالبؔ","ham jise bhuul chuke the jalib"
"پہر وہی راہ گزر یاد ایا","phir vahi rahguzar yaad aaya"
"میرؔ و غالبؔ بنی یگانہؔ بنی","miroghalib bane yagana bane"
"ادمی ای خدا خدا نہ بنی","aadmi ai khuda khuda na bane"
"موت کی دسترس میں کب سی ہیں","maut ki dastaras men kab se hain"
"زندگی کا کوئی بہانہ بنی","zindagi ka koi bahana bane"
"اپنا شاید یہی تہا جرم ای دوست","apna shayad yahi tha jurm ai dost"
"با وفا بن کی بی وفا نہ بنی","bavafa ban ke bevafa na bane"
"ہم پہ اک اعتراض یہ بہی ہی","ham pe ik etiraz ye bhi hai"
"بی نوا ہو کی بی نوا نہ بنی","benava ho ke benava na bane"
"یہ بہی اپنا قصور کیا کم ہی","ye bhi apna qusur kya kam hai"
"کسی قاتل کی ہم نوا نہ بنی","kisi qatil ke hamnava na bane"
"کیا گلہ سنگ دل زمانی کا","kya gila sangdil zamane ka"
"اشنا ہی جب اشنا نہ بنی","ashna hi jab ashna na bane"
"چہوڑ کر اس گلی کو ای جالبؔ","chhod kar us gali ko ai jalib"
"اک حقیقت سی ہم فسانہ بنی","ik haqiqat se ham fasana bane"
"نہ ڈگمگائی کبہی ہم وفا کی رستی میں","na dagmagae kabhi ham vafa ke raste men"
"چراغ ہم نی جلائی ہوا کی رستی میں","charagh ham ne jalae hava ke raste men"
"کسی لگائی گلی اور کہاں کہاں ٹہہری","kise lagae gale aur kahan kahan thahre"
"ہزار غنچہ و گل ہیں صبا کی رستی میں","hazar ghunchaogul hain saba ke raste men"
"خدا کا نام کوئی لی تو چونک اٹہتی ہیں","khuda ka naam koi le to chaunk uthte hain"
"ملی ہیں ہم کو وہ رہبر خدا کی رستی میں","mile hain ham ko vo rahbar khuda ke raste men"
"کہیں سلاسل تسبیح اور کہیں زنار","kahin salasiletasbih aur kahin zunnar"
"بچہی ہیں دام بہت مدعا کی رستی میں","bichhe hain daam bahut muddaa ke raste men"
"ابہی وہ منزل فکر و نظر نہیں ائی","abhi vo manzilefikronazar nahin aai"
"ہی ادمی ابہی جرم و سزا کی رستی میں","hai aadmi abhi jurm o saza ke raste men"
"ہیں اج بہی وہی دار و رسن وہی زنداں","hain aaj bhi vahi darorasan vahi zindan"
"ہر اک نگاہ رموز اشنا کی رستی میں","har ik nigaherumuzashna ke raste men"
"یہ نفرتوں کی فصیلیں جہالتوں کی حصار","ye nafraton ki fasilen jahalaton ke hisar"
"نہ رہ سکیں گی ہماری صدا کی رستی میں","na rah sakenge hamari sada ke raste men"
